Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum 
3774754,1021,39.3086,37,298158,66,298158
3774754,1028,67.9883,37,298158,34,298158
3774754,956,67.9258,36,298158,34,298158
3774754,977,67.8633,43,298158,39,298158
3774754,993,67.8008,37,298158,35,298158
3774754,926,67.7383,36,298158,37,298158
3774754,1010,67.6758,38,298158,35,298158
3774754,963,67.6133,36,298158,35,298158
3774754,1011,72.457,40,298158,37,298158
3774754,1017,72.4648,42,298158,38,298158
3774754,977,72.4688,53,298158,40,298158
3774754,981,72.4727,36,298158,35,298158
3774754,1035,72.4727,43,298158,38,298158
3774754,963,72.4766,44,298158,44,298158
3774754,991,72.4805,44,298158,36,298158
3774754,923,72.4844,38,298158,36,298158
3774754,965,72.4883,39,298158,37,298158
3774754,934,72.168,38,298158,36,298158
3774754,1031,72.4961,48,298158,37,298158
3774754,915,72.4961,47,298158,41,298158
